Title,Release Date,Badge Score
After War Gundam X,1996,7.32
Akatsuki no Yona,2014,8.03
Alderamin on the Sky,2016,7.66
Ange Vierge,2016,6.00
Aoi Sekai no Chuushin de,2012,5.70
Avatar: The Last Airbender,2005,8.75
Berserk,1997,8.54
Berserk (2016),2016,6.30
Blade and Soul,2014,6.05
Bleach,2004,7.88
Cardcaptor Sakura,1998,8.15
Cardfight!! Vanguard,2011,7.02
Casshern Sins,2008,7.51
Cerberus,2016,5.60
Chaika - The Coffin Princess,2014,7.23
Chaika -The Coffin Princess- Avenging Battle,2014,7.18
Chain Chronicle: The Light of Haecceitas,2016,6.57
Claymore,2007,7.75
Comet Lucifer,2015,5.84
D.Gray-man,2006,8.02
D.Gray-man Hallow,2016,7.71
Detective Conan,1996,8.16
Digimon Adventure,1999,7.77
Dog Days,2011,6.88
Dog Days',2012,7.02
Dog Days'',2015,6.89
Dragon Ball,1986,7.96
Dragon Ball GT,1996,6.47
Dragon Ball Kai,2009,7.72
Dragon Ball Super,2017,7.42
Drifters,2016,7.90
Endride,2016,5.60
Eureka Seven,2005,8.06
Eureka Seven AO,2012,6.66
Fairy Tail,2009,7.58
Flip Flappers,2016,7.65
Fullmetal Alchemist Brotherhood,2009,9.13
Galilei Donna,2013,6.42
Gargantia on the Verdurous Planet,2013,7.46
Gatchaman Crowds,2015,7.29
Gatchaman Crowds Insight,2015,7.25
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",2015,7.70
Grimgar of Fantasy and Ash,2016,7.65
Humanity Has Declined,2012,7.74
Hunter x Hunter (2011),2011,9.04
Is It Wrong to Try to Pick Up Girls in a Dungeon?,2015,7.56
JoJo's Bizarre Adventure: Phantom Blood,2012,7.91
JoJo's Bizarre Adventure: Diamond Is Unbreakable,2016,8.50
JoJo's Bizarre Adventure: Stardust Crusaders,2014,8.10
Jormungand,2012,7.81
Kaiba,2008,8.14
Kaitou Joker,2014,6.91
Katanagatari,2010,8.32
Kemono Friends,2017,7.53
Koihime Musou,2009,6.73
KonoSuba: God's Blessing on This Wonderful World! 2,2017,8.27
KonoSuba: God's Blessing on This Wonderful World!,2016,8.12
Last Exile,2003,7.80
"Last Exile: Fam, the Silver Wing",2011,7.07
Little Witch Academia,2017,7.82
Log Horizon,2013,7.94
Log Horizon 2,2014,7.58
Lord Marksman and Vanadis,2014,7.12
Lupin III – Daisuke Jigen’s Gravestone,2014,7.81
Lupin III: Part IV,2015,7.90
Magi Adventure of Sinbad,2016,7.85
